lang,status,missing,extra
ar,ok,99,14
de,ok,106,14
el,ok,1,14
en,ok,0,0
es,ok,106,14
fi,ok,1,7
fr,ok,103,21
he,ok,1,14
hi,ok,1,14
it,ok,1,14
ja,ok,106,14
pl,ok,1,14
pt,ok,106,14
ru,ok,106,14
sv,ok,115,14
sw,ok,1,19
tr,ok,99,14
ur,ok,1,96
zh,ok,136,5
